Company,Industry,Headquarters,Reviews,Jobs,Salaries,Benefits,Interviews
Standard Chartered,Banking, Chennai,(4.9k),--,39.5k,353,278
Virtusa Consulting Services,IT Services & Consulting, Hyderabad / Secunderabad,(5.3k),43,53.1k,358,605
Indiamart Intermesh,Internet, Noida,(5.1k),636,19k,471,671
Coforge,IT Services & Consulting, Noida,(5.3k),376,42.3k,364,568
Firstsource Solutions,BPO, Bangalore / Bengaluru,(4.9k),94,22.2k,623,312
GlobalLogic,IT Services & Consulting, Hyderabad / Secunderabad,(4.9k),62,36.5k,579,610
ICICI Lombard General Insurance Company,Insurance, Mumbai,(4.8k),95,18.4k,388,295
Cyient,IT Services & Consulting, Hyderabad / Secunderabad,(4.8k),29,26.2k,504,300
Ashok Leyland,Automobile, Chennai,(4.8k),3,17.6k,685,261
BigBasket,Internet, Bangalore / Bengaluru,(4.8k),59,17.3k,405,377
Citicorp,Financial Services, Pune,(4.7k),--,45.3k,569,577
UST,IT Services & Consulting, Bangalore / Bengaluru,(4.7k),292,36.8k,465,528
DMart,Retail, Mumbai,(4.9k),92,15.9k,503,422
CGI Group,IT Services & Consulting, Bangalore / Bengaluru,(4.9k),205,43.4k,447,513
Cholamandalam Investment & Finance,Financial Services, Chennai,(5k),16,11.1k,319,210
SMFG India Credit,NBFC, Mumbai,(4.6k),122,10.5k,363,169
Hero MotoCorp,Automobile, Gurgaon / Gurugram,(4.6k),2,14.4k,628,354
Apollo Hospitals,Healthcare, Chennai,(4.8k),51,15.4k,537,376
Mahindra Finance,NBFC, Mumbai,(4.7k),66,11.3k,526,161
JustDial,Internet, Noida,(4.6k),51,15.2k,395,347
Manappuram Finance,NBFC, Bangalore / Bengaluru,(4.5k),12,8.2k,277,161
Bosch Global Software Technologies,IT Services & Consulting, Bangalore / Bengaluru,(4.8k),15,36.4k,755,352
Vivo,Consumer Electronics & Appliances, Noida,(4.5k),4,12.7k,687,201
Swiggy,Internet, Bangalore / Bengaluru,(4.5k),200,20.7k,382,452
BNY,Financial Services, Pune,(4.4k),49,28.7k,574,360
Kalpataru Projects International,Engineering & Construction, Mumbai,(4.4k),2,12.4k,222,261
SBI Cards & Payment Services,Financial Services, New Delhi,(4.4k),126,15.1k,361,247
Eviden,IT Services & Consulting, Pune,(4.6k),46,30.3k,71,304
TVS Motor,Automobile, Hosur,(4.4k),7,14.5k,565,331
Home Credit Finance,NBFC, Gurgaon / Gurugram,(4.4k),97,9.8k,648,118
CBRE,Real Estate, Hyderabad / Secunderabad,(4.3k),53,17.2k,499,288
PolicyBazaar,Internet, Gurgaon / Gurugram,(4.3k),223,15.1k,267,443
Persistent Systems,IT Services & Consulting, Pune,(4.2k),165,39.3k,438,631
Nagarro,IT Services & Consulting, Gurgaon / Gurugram,(4.2k),277,27.2k,1.2k,777
OPPO,Consumer Electronics & Appliances, Greater Noida,(4.2k),12,11.9k,636,222
Atos,IT Services & Consulting, Pune,(4.4k),63,33k,495,385
Amdocs,Software Product, Pune,(4.2k),20,35.1k,709,526
IQVIA,Clinical Research, Bangalore / Bengaluru,(4.4k),31,27.9k,564,478
State Bank of India,Banking, Mumbai,(4.2k),--,10.6k,427,254
JBM Group,Auto Components, Gurgaon / Gurugram,(4.2k),35,13.3k,415,297
Schneider Electric,Industrial Automation, Bangalore / Bengaluru,(4.1k),317,21.7k,499,378
Nagarjuna Construction Company,Engineering & Construction, Hyderabad / Secunderabad,(4.1k),12,10.9k,434,339
Bosch,Auto Components, Bangalore / Bengaluru,(4.1k),375,19.3k,659,340
Hewlett Packard Enterprise,IT Services & Consulting, Bangalore / Bengaluru,(4.1k),4,25.8k,583,241
Dell,Consumer Electronics & Appliances, Bangalore / Bengaluru,(4.1k),47,27.2k,584,397
Ecom Express,Logistics, Gurgaon / Gurugram,(4k),13,9.2k,342,214
NTT Data,IT Services & Consulting, Bangalore / Bengaluru,(4.2k),59,30k,200,641
KEC International,Engineering & Construction, Mumbai,(3.9k),6,11.8k,460,335
Mahindra Logistics,Logistics, Mumbai,(4k),7,13k,467,210
SBI Life Insurance Company,Insurance, Mumbai,(4.2k),10,11k,351,252
Randstad,Recruitment, Hyderabad / Secunderabad,(3.9k),78,14.9k,347,282
Varun Beverages,Beverage, New Delhi,(3.8k),57,11.2k,344,254
CARS24,Internet, Gurgaon / Gurugram,(3.8k),94,14.3k,437,350
Hyundai Motor India Limited,Automobile, Chennai,(3.8k),--,12.6k,554,275
Piramal Capital Housing Finance,NBFC, Mumbai,(4k),2,8.7k,274,193
Deutsche Bank,Banking, Pune,(3.8k),975,32.3k,438,379
Havells,Electrical Equipment, Noida,(3.7k),26,12.4k,345,223
R1 RCM,BPO, New Delhi,(3.7k),399,19.3k,400,296
Aditya Birla Fashion and Retail,Fashion & Textile, Bangalore / Bengaluru,(3.9k),26,12k,404,220
Bajaj Auto,Automobile, Pune,(3.6k),91,13.2k,562,284
Oyo Rooms,Hospitality, Gurgaon / Gurugram,(3.6k),66,18k,398,223
Reliance Communications,Telecom, Mumbai,(3.6k),--,9.8k,383,95
Access Healthcare,Analytics & KPO, Chennai,(3.6k),235,21.6k,297,223
EY Global Delivery Services ( EY GDS),Accounting & Auditing, Bangalore / Bengaluru,(3.7k),9,35.3k,187,785
John Deere,Industrial Machinery, Pune,(3.6k),14,14.5k,446,238
Hetero,Pharma, Hyderabad / Secunderabad,(3.6k),42,14.3k,364,243
Tata Communications,Telecom, Pune,(3.5k),24,22.7k,453,266
Tata AIA Life Insurance,Insurance, Mumbai,(3.5k),319,12.6k,317,187
LG Electronics,Consumer Electronics & Appliances, Pune,(3.5k),1,10.1k,434,213
L&T Finance,NBFC, Mumbai,(3.7k),2,10.9k,279,165
Royal Enfield,Automobile, Chennai,(3.5k),2,13.4k,417,166
Intas Pharmaceuticals,Pharma, Ahmedabad,(3.7k),29,16k,435,227
Thermax Limited,Industrial Machinery, Pune,(3.5k),53,11.9k,399,267
ITC Infotech,IT Services & Consulting, Bangalore / Bengaluru,(3.7k),76,27.9k,338,358
Team Lease,Recruitment, Bangalore / Bengaluru,(3.6k),--,14.8k,226,218
VE Commercial Vehicles,Automobile, Indore,(3.4k),9,12.6k,383,229
DCB Bank,Banking, Mumbai,(3.4k),244,9.2k,258,193
Publicis Sapient,IT Services & Consulting, Bangalore / Bengaluru,(3.4k),240,27k,432,636
Macleods Pharmaceuticals,n/a,Mumbai,(3.6k),7,14.8k,386,217
Subros,Auto Components, Noida,(3.3k),1,11.9k,440,177
Lenskart,Internet, New Delhi,(3.3k),191,11.1k,224,334
American Express,Financial Services, Gurgaon / Gurugram,(3.3k),198,21.2k,470,373
Berger Paints,Chemicals, Kolkata,(3.3k),172,9.1k,294,281
Bank of America,Banking, Gurgaon / Gurugram,(3.3k),94,25.3k,452,249
Aakash Educational Services,Education & Training, New Delhi,(3.4k),86,12.2k,229,323
